Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
dijual cepat rumah bonus ruko lokasi strategis kemayoran jakpus,Rp 9.200.000.000,5,260,380,"Kemayoran, Jakarta Pusat",2025-04-27T14:33:25.556014
rumah mewah di gading serpong lokasi strategis dekat akses toll,Rp 2.100.000.000,4,151,115,Tangerang Selatan,2025-04-27T14:33:25.837597
edisi mau pulang kampungdijual cepat rumah huk main road batununggal,Rp 1.900.000.000,2,110,257,"Buahbatu (Margacinta), Bandung",2025-04-27T14:33:26.159665
"di jual cepat & strategis rumah tinggal daerah jalan amaliun, medan",Rp 1.500.000.000,4,200,272,"Alamat: jalan amaliun gg ciknoni no 3g medan. 20215 kota matsum. Kec. Medan Area. Medan kota Klo di maps carinya jalan ciknoni Medan Area, Medan",2025-04-27T14:33:26.484780
jual bu lokasi sawangan super strategis,Rp 1.300.000.000,3,108,72,"Sawangan, Depok",2025-04-27T14:33:26.795890
rumah istimewa full furnished di siranda terrace tembalang semarang,Rp 2.180.000.000,3,102,153,"Tembalang, Semarang",2025-04-27T14:33:27.095457
rumah 2lantai baru kpr tanpa dp strategis dekat gading serpong bsd,Rp 450.000.000,3,55,61,"Gading Serpong, Tangerang",2025-04-27T14:33:27.415348
"rumah impian gen z dg multi access & no dp, no ribet di banjar wijaya",Rp 1.336.000.000,3,64,50,"Cipondoh, Tangerang",2025-04-27T14:33:27.726577
jual rumah cluster the castilla bsd serpong,Rp 2.500.000.000,4,150,128,"The Castilla bsd Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:33:28.081091
"rumah mahagoni park bintaro jaya, sangat bagus, 2 menit ke pintu tol",Rp 2.550.000.000,3,156,96,"Mahagoni Park Bintaro, Tangerang Selatan",2025-04-27T14:33:28.388712
rumah siap huni di batununggal indah estate,Rp 3.950.000.000,4,216,325,"Batununggal, Bandung",2025-04-27T14:33:28.704613
hunian muslim full fasilitas dekat ke ciputat pamulang jakarta selatan,Rp 599.000.000,2,36,52,"Cinangka Jalan Kona Cinangka, Depok",2025-04-27T14:33:29.010793
rumah siap huni di bogor semi furnish promo gratis semua biaya biaya,Rp 467.000.000,2,1,70,"Kota batu Ciomas Ciomas, Bogor",2025-04-27T14:33:29.299085
rumah mewah mezzanine fasilitas kolam renang harga 700jutaan di bekasi,Rp 749.000.000,2,47,72,"Jln Raya Pertamina Babelan, Bekasi",2025-04-27T14:33:29.413906
rumah kos premium 10 kamar depan umm dan dekat ub kota malang,Rp 1.700.000.000,10,199,91,"Landungsari Dau, Malang",2025-04-27T14:33:29.519655
rumah kos premium 10 kamar depan umm dan dekat ub kota malang,Rp 1.700.000.000,10,199,91,"Landungsari Dau, Malang",2025-04-27T14:33:39.802984
villa di ubud siap huni dan sewakan make money,Rp 2.799.000.000,2,140,139,"Ubud, Gianyar",2025-04-27T14:33:40.098791
"dijual rugi/cepat/bu paling murah di bukit cimanggu city, kota bogor",Rp 250.000.000,2,60,78,"Cluster Pinewood Blok KE 10 No 20, Bukit Cimanggu City, Kencana, Tanah Sareal, Bogor Tanah Sareal, Bogor",2025-04-27T14:33:40.386122
rumah di kunciran pinang dekat duta bintaro dan alam sutera tangerang,Rp 1.300.000.000,3,180,100,"Kunciran, Tangerang",2025-04-27T14:33:40.669821
dijual rumah baru renov unfurnished shm siap huni,Rp 1.700.000.000,6,220,120,"Tugu, Depok",2025-04-27T14:33:40.869018
