Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
dijual rumah murah lokasi dekat dengan setu cilodong,400000000.0,1,48.0,72.0,Depok,2025-04-27T14:42:04.930960
cluster nashville tipe 166,2654647000.0,4,166.0,153.0,Bogor,2025-04-27T14:42:05.232634
premier promenade tipe lavender,2988000000.0,4,140.0,140.0,Depok,2025-04-27T14:42:05.528896
casa de kalma tipe 84,986000000.0,2,84.0,52.0,Depok,2025-04-27T14:42:05.817990
bsd city - cluster vasya tanakayu tipe 137,3499041000.0,3,137.0,84.0,Tangerang,2025-04-27T14:42:06.120589
ana rumah gandeng uk 8x19m di komp kavling polri jelambar,6800000000.0,10,448.0,152.0,Jakarta Barat,2025-04-27T14:42:06.394806
dijual rumah fully furnished mediternia boulevard pantai indah kapuk,9500000000.0,5,450.0,270.0,Jakarta Utara,2025-04-27T14:42:06.693081
rumah baru kpr tanpa dp disamping gading serpong bsd karawaci,280000000.0,2,36.0,60.0,Tangerang,2025-04-27T14:42:17.837902
rumah kost dekat kampus ternama kota malang,1800000000.0,12,208.0,98.0,Malang,2025-04-27T14:42:18.132199
ana rumah gandeng uk 8x19m di komp kavling polri jelambar,6800000000.0,10,448.0,152.0,Jakarta Barat,2025-04-27T14:42:18.436663
di jual rumah cantik siap huni kuldesak. kota wisata cibubur.,2799000000.0,4,200.0,180.0,Jakarta Timur,2025-04-27T14:42:18.770260
"jual rumah cantik cluster greenwood,strategis dkt pintu tol pamulang",1360000000.0,3,96.0,112.0,Tangerang Selatan,2025-04-27T14:42:19.093238
rumah cantik sudah renov cluster favorit di kota wisata cibubur,1600000000.0,4,120.0,112.0,Jakarta Timur,2025-04-27T14:42:19.399550
jual di cluster kireina park nusaloka bsd serpong,1800000000.0,3,85.0,105.0,Tangerang Selatan,2025-04-27T14:42:19.702345
dijual rumah murah lokasi dekat dengan setu cilodong,400000000.0,1,48.0,72.0,Depok,2025-04-27T14:42:19.992084
dijual rumah di daerah sako kota palembang - sinar sako residence,750000000.0,2,52.0,52.0,Palembang,2025-04-27T14:42:20.284930
dijual rumah siap huni shm,950000000.0,2,48.0,91.0,Tangerang Selatan,2025-04-27T14:42:20.512754
graha tirta asri tipe lily,520000000.0,2,36.0,72.0,Bogor,2025-04-27T14:42:20.812355
numara bintaro tipe 60/148,2250000000.0,3,148.0,60.0,Tangerang,2025-04-27T14:42:21.117002
dijual rumah 3.5 lantai tb simatupang jaksel,1750000000.0,3,84.0,33.0,Jakarta Selatan,2025-04-27T14:42:21.396055
terravia bsd city tipe belova classic,2276360000.0,3,95.0,66.0,Tangerang,2025-04-27T14:42:21.673442
cluster agra tipe amaryllis at suvarna sutera,2093350000.0,4,142.0,135.0,Tangerang,2025-04-27T14:42:21.963364
mississippi kota wisata tipe 121,2906686000.0,3,121.0,118.0,Bogor,2025-04-27T14:42:22.250948
eonna bsd city tipe 9,5706248625.0,4,255.0,144.0,Tangerang,2025-04-27T14:42:22.548873
grand wisata - z living tipe lifestyle,2696344367.0,4,125.0,126.0,Bekasi,2025-04-27T14:42:22.848772
springhill yume lagoon tipe sakura,1268580150.0,2,72.0,72.0,Tangerang,2025-04-27T14:42:23.156469
cendana botanic type 3b,1135943804.0,3,88.0,87.0,Tangerang,2025-04-27T14:42:23.449510
metland cibitung - cluster havana tipe 38/72,673000000.0,2,38.0,72.0,Bekasi,2025-04-27T14:42:23.752330
armont residence tipe 9 x 17,7802610000.0,3,275.0,153.0,Tangerang,2025-04-27T14:42:24.052546
giantara serpong city tipe klaia,1149200000.0,2,66.0,60.0,Tangerang,2025-04-27T14:42:24.364876
panorama terrace tipe a,4410000000.0,5,180.0,146.0,Jakarta Selatan,2025-04-27T14:42:24.670696
panorama terrace tipe e,3214500000.0,4,170.0,93.0,Jakarta Selatan,2025-04-27T14:42:24.977821
kebayoran piazza tipe fernna,3076000000.0,2,73.0,62.0,Tangerang,2025-04-27T14:42:25.293370
citra garden bintaro cluster alstonia tipe celosia,3548925000.0,4,163.0,120.0,Tangerang Selatan,2025-04-27T14:42:25.589646
bali resort tangerang tipe bali suite standard,1044900000.0,3,101.0,66.0,Tangerang,2025-04-27T14:42:25.890928
cluster bluebell tipe 27 – samesta parayasa,374000000.0,2,27.0,60.0,Bogor,2025-04-27T14:42:26.210130
shila at sawangan cluster tilia courtyard corner,2785298000.0,3,109.0,200.0,Depok,2025-04-27T14:42:26.500429
